Fund name,category,aum_rs_cr,1_m_pr
Quant Small Cap Fund,Equity-Diversified,700.52,12.76
ICICI Prudential Commodities Fund,Equity-Sector,533.37,7.82
Quant Infrastructure Fund,Equity-Sector,42.67,4.15
Sundaram Select Micro Cap - Series XVII,Equity-Diversified,98.53,13.96
                            Sundaram Long Term Micro Cap Tax Advanta...                        ,Equity-Tax Planning,42.81,15.37
                            Sundaram Long Term Micro Cap Tax Advanta...                        ,Equity-Tax Planning,42.16,14.37
Sundaram Select Micro Cap - Series XVI,Equity-Diversified,116.36,13.9
Kotak Small Cap Fund,Equity-Diversified,4765.5,6.46
BOI AXA Small Cap Fund,Equity-Diversified,158.22,10.47
                            Sundaram Long Term Micro Cap Tax Advanta...                        ,Equity-Tax Planning,40.26,14.7
Quant Mid Cap Fund,Balanced,110.32,6.08
BOI AXA Mid & Small Cap Equity & Debt Fund,Balanced,333.09,9.28
Quant Absolute Fund,Balanced,52.52,5.66
IDFC Hybrid Equity Fund,Balanced,545.26,3.5
ICICI Prudential Equity & Debt Fund,Balanced,17129.99,2.36
Kotak Equity Hybrid Fund,Balanced,1760.44,1.49
UTI Hybrid Equity Fund,Balanced,4046.04,3.36
                            Mahindra Manulife Hybrid Equity Nivesh Y...                        ,Balanced,232.54,2.73
HDFC Hybrid Equity Fund,Balanced,18220.21,3.05
HDFC Childrens Gift Fund,Balanced,4835.85,3.43
HDFC Multi - Asset Fund,Debt-MIP,905.13,2.39
Aditya Birla Sun Life Regular Savings Fund,Debt-MIP,1210.29,1.02
HDFC Hybrid Debt Fund,Debt-MIP,2525.39,1.8
IDBI Equity Savings Fund,Debt-MIP,11.26,1.09
SBI Debt Hybrid Fund,Debt-MIP,1845.46,1.51
SBI Multi Asset Allocation Fund,Debt-MIP,393.27,1.75
Kotak Debt Hybrid Fund,Debt-MIP,678.23,1.16
UTI Dual Advantage FTF - Series III - I,Debt-Marginal Equity,32.0,1.29
UTI Dual Advantage FTF - Series IV - IV,Debt-Marginal Equity,29.42,1.46
Nippon India Strategic Debt Fund,Debt-Income,251.72,13.92
Nippon India Ultra Short Duration Fund,Liquid,1238.04,2.81
Quant Liquid Fund,Liquid,268.85,0.3
Tata Money Market Fund,Liquid,3864.31,0.38
Aditya Birla Sun Life Money Manager Fund,Liquid,13621.81,0.36
Nippon India Money Market Fund,Liquid,7318.39,0.36
UTI Money Market Fund,Liquid,6635.55,0.36
HDFC Money Market Fund,Liquid,13853.92,0.35
Axis Money Market Fund,Liquid,2306.68,0.35
ICICI Prudential Money Market Fund,Liquid,11429.87,0.34
Kotak Money Market Fund,Liquid,9730.07,0.36
Edelweiss Government Securities Fund,Gilt-Long Term,98.29,0.22
Axis Gilt Fund,Gilt-Long Term,152.86,0.06
                            ICICI Prudential Constant Maturity Gilt ...                        ,Gilt-Long Term,324.98,0.03
DSP Government Securities Fund,Gilt-Long Term,461.95,0.13
SBI Magnum Gilt Fund,Gilt-Long Term,3711.19,0.11
                            Aditya Birla Sun Life Government Securit...                        ,Gilt-Long Term,880.65,-0.05
PGIM India Gilt Fund,Gilt-Long Term,132.01,0.08
LIC MF G Sec Fund,Gilt-Long Term,48.03,0.17
                            IDFC Government Securities Fund Investme...                        ,Gilt-Long Term,1968.55,0.44
ICICI Prudential Gilt Fund,Gilt-Long Term,3739.01,-0.35
Quant Multi Asset Fund,Dynamic/Asset Allocation,74.36,5.47
HDFC Balanced Advantage Fund,Dynamic/Asset Allocation,41796.27,2.38
ICICI Prudential Multi-Asset Fund,Dynamic/Asset Allocation,11676.83,1.92
Edelweiss Aggressive Hybrid Fund,Dynamic/Asset Allocation,56.65,2.98
Tata Multi Asset Opportunities Fund,Dynamic/Asset Allocation,792.59,2.66
Axis Triple Advantage Fund,Dynamic/Asset Allocation,1020.42,2.94
Edelweiss Balanced Advantage Fund,Dynamic/Asset Allocation,4308.73,1.75
                            Nippon India Capital Protection Oriented...                        ,Dynamic/Asset Allocation,36.26,0.37
Nippon India Balanced Advantage Fund,Dynamic/Asset Allocation,3722.21,2.3
Baroda Dynamic Equity Fund,Dynamic/Asset Allocation,1248.07,2.28
Nippon India ETF Nifty Midcap 150,ETF-Others,402.67,4.3
Motilal Oswal Midcap 100 ETF,ETF-Others,69.63,4.36
ICICI Prudential Midcap 150 ETF,ETF-Others,74.69,4.38
Nippon India ETF Nifty IT,ETF-Others,706.66,2.97
Nippon India ETF PSU Bank BeES,ETF-Others,278.74,2.29
Kotak PSU Bank ETF,ETF-Others,137.38,2.34
ICICI Prudential Midcap Select ETF,ETF-Others,28.38,4.76
Edelweiss ETF - Nifty Bank,ETF-Others,1.31,1.64
ICICI Prudential Bank ETF,ETF-Others,2453.43,1.63
SBI ETF Nifty Bank,ETF-Others,4257.91,1.63
HDFC Retirement Savings Fund - Equity Plan,Speciality-Pension Plan,1668.76,6.08
UTI CCF - Investment Plan,Speciality-Child Care,504.4,4.35
Tata Young Citizens Fund,Speciality-Child Care,249.93,2.17
                            ICICI Prudential Retirement Fund - Pure ...                        ,Speciality-Pension Plan,101.4,5.8
                            Nippon India Retirement Fund - Wealth Cr...                        ,Speciality-Pension Plan,2106.56,3.02
                            HDFC Retirement Savings Fund - Hybrid - ...                        ,Speciality-Pension Plan,649.89,3.61
LIC MF Unit Linked Insurance scheme,Speciality-ULIP,376.98,2.08
                            Tata Retirement Savings Fund - Progressi...                        ,Speciality-Pension Plan,1088.72,1.44
Axis Childrens Gift Fund,Speciality-Child Care,622.22,3.3
                            ICICI Prudential Retirement Fund - Hybri...                        ,Speciality-Pension Plan,111.96,1.96
                            ICICI Prudential Thematic Advantage Fund...                        ,Fund of Funds-Domestic,48.71,3.59
ICICI Prudential India Equity FOF,Fund of Funds-Domestic,32.58,3.7
ICICI Prudential Bharat 22 FOF,Fund of Funds-Domestic,36.6,3.98
                            ICICI Prudential Passive Strategy Fund (...                        ,Fund of Funds-Domestic,81.9,1.4
                            Franklin India Life Stage Fund of Funds ...                        ,Fund of Funds-Domestic,13.93,2.8
Quantum Equity FoF,Fund of Funds-Domestic,69.02,3.42
Nippon India Junior BeES FoF,Fund of Funds-Domestic,76.27,1.66
PRINCIPAL Global Opportunities Fund,Fund of Funds-Overseas,35.0,0.9
HSBC Managed Solutions India - Growth,Fund of Funds-Domestic,42.15,3.17
DSP World Mining Fund,Fund of Funds-Overseas,153.1,4.11
