Fund name,category,aum_rs_cr,5_y_pr
Quant Small Cap Fund,Equity-Diversified,700.52,21.36
ICICI Prudential Commodities Fund,Equity-Sector,533.37,--
Quant Infrastructure Fund,Equity-Sector,42.67,20.48
Sundaram Select Micro Cap - Series XVII,Equity-Diversified,98.53,--
                            Sundaram Long Term Micro Cap Tax Advanta...                        ,Equity-Tax Planning,42.81,--
                            Sundaram Long Term Micro Cap Tax Advanta...                        ,Equity-Tax Planning,42.16,--
Sundaram Select Micro Cap - Series XVI,Equity-Diversified,116.36,--
Kotak Small Cap Fund,Equity-Diversified,4765.5,19.87
BOI AXA Small Cap Fund,Equity-Diversified,158.22,--
                            Sundaram Long Term Micro Cap Tax Advanta...                        ,Equity-Tax Planning,40.26,--
Quant Mid Cap Fund,Balanced,110.32,18.48
BOI AXA Mid & Small Cap Equity & Debt Fund,Balanced,333.09,--
Quant Absolute Fund,Balanced,52.52,18.18
IDFC Hybrid Equity Fund,Balanced,545.26,--
Kotak Equity Hybrid Fund,Balanced,1760.44,12.39
ICICI Prudential Equity & Debt Fund,Balanced,17129.99,13.25
UTI Hybrid Equity Fund,Balanced,4046.04,10.81
                            Mahindra Manulife Hybrid Equity Nivesh Y...                        ,Balanced,232.54,--
                            Aditya Birla Sun Life Equity Hybrid 95 F...                        ,Balanced,7875.59,10.11
HDFC Hybrid Equity Fund,Balanced,18220.21,10.95
HDFC Multi - Asset Fund,Debt-MIP,905.13,10.53
Aditya Birla Sun Life Regular Savings Fund,Debt-MIP,1210.29,7.97
HDFC Hybrid Debt Fund,Debt-MIP,2525.39,8.37
IDBI Equity Savings Fund,Debt-MIP,11.26,5.98
SBI Multi Asset Allocation Fund,Debt-MIP,393.27,9.41
SBI Debt Hybrid Fund,Debt-MIP,1845.46,8.34
Kotak Debt Hybrid Fund,Debt-MIP,678.23,9.31
Nippon India Strategic Debt Fund,Debt-Income,251.72,0.10
UTI Dual Advantage FTF - Series IV - IV,Debt-Marginal Equity,29.42,--
UTI Dual Advantage FTF - Series III - I,Debt-Marginal Equity,32.0,6.67
Nippon India Ultra Short Duration Fund,Liquid,1238.04,5.50
Quant Liquid Fund,Liquid,268.85,6.28
Tata Money Market Fund,Liquid,3864.31,5.24
Aditya Birla Sun Life Money Manager Fund,Liquid,13621.81,6.92
Nippon India Money Market Fund,Liquid,7318.39,6.75
UTI Money Market Fund,Liquid,6635.55,6.73
HDFC Money Market Fund,Liquid,13853.92,6.72
Axis Money Market Fund,Liquid,2306.68,--
ICICI Prudential Money Market Fund,Liquid,11429.87,6.71
Kotak Money Market Fund,Liquid,9730.07,6.64
Edelweiss Government Securities Fund,Gilt-Long Term,98.29,8.46
Axis Gilt Fund,Gilt-Long Term,152.86,7.67
                            ICICI Prudential Constant Maturity Gilt ...                        ,Gilt-Long Term,324.98,9.24
DSP Government Securities Fund,Gilt-Long Term,461.95,8.56
                            Aditya Birla Sun Life Government Securit...                        ,Gilt-Long Term,880.65,8.57
SBI Magnum Gilt Fund,Gilt-Long Term,3711.19,8.70
PGIM India Gilt Fund,Gilt-Long Term,132.01,7.27
LIC MF G Sec Fund,Gilt-Long Term,48.03,7.66
ICICI Prudential Gilt Fund,Gilt-Long Term,3739.01,8.20
                            IDFC Government Securities Fund Investme...                        ,Gilt-Long Term,1968.55,9.03
Quant Multi Asset Fund,Dynamic/Asset Allocation,74.36,17.36
HDFC Balanced Advantage Fund,Dynamic/Asset Allocation,41796.27,12.66
ICICI Prudential Multi-Asset Fund,Dynamic/Asset Allocation,11676.83,12.81
Edelweiss Aggressive Hybrid Fund,Dynamic/Asset Allocation,56.65,11.59
Tata Multi Asset Opportunities Fund,Dynamic/Asset Allocation,792.59,--
Axis Triple Advantage Fund,Dynamic/Asset Allocation,1020.42,11.33
Edelweiss Balanced Advantage Fund,Dynamic/Asset Allocation,4308.73,12.21
Nippon India Balanced Advantage Fund,Dynamic/Asset Allocation,3722.21,11.08
                            Nippon India Capital Protection Oriented...                        ,Dynamic/Asset Allocation,36.26,--
Baroda Dynamic Equity Fund,Dynamic/Asset Allocation,1248.07,--
Nippon India ETF Nifty Midcap 150,ETF-Others,402.67,--
Motilal Oswal Midcap 100 ETF,ETF-Others,69.63,13.72
ICICI Prudential Midcap 150 ETF,ETF-Others,74.69,--
