Fund name,category,aum_rs_cr,1_m_pr
Quant Small Cap Fund,Equity-Diversified,700.52,9.79
ICICI Prudential Commodities Fund,Equity-Sector,533.37,4.74
Quant Infrastructure Fund,Equity-Sector,42.67,1.5
                            Sundaram Long Term Micro Cap Tax Advanta...                        ,Equity-Tax Planning,42.81,12.85
Sundaram Select Micro Cap - Series XVII,Equity-Diversified,98.53,11.64
                            Sundaram Long Term Micro Cap Tax Advanta...                        ,Equity-Tax Planning,42.16,11.99
Kotak Small Cap Fund,Equity-Diversified,4765.5,5.2
Sundaram Select Micro Cap - Series XVI,Equity-Diversified,116.36,11.63
BOI AXA Small Cap Fund,Equity-Diversified,158.22,8.8
                            Sundaram Long Term Micro Cap Tax Advanta...                        ,Equity-Tax Planning,40.26,12.37
Quant Mid Cap Fund,Balanced,110.32,3.78
BOI AXA Mid & Small Cap Equity & Debt Fund,Balanced,333.09,7.97
Quant Absolute Fund,Balanced,52.52,3.73
IDFC Hybrid Equity Fund,Balanced,545.26,2.53
ICICI Prudential Equity & Debt Fund,Balanced,17129.99,0.46
Kotak Equity Hybrid Fund,Balanced,1760.44,0.6
UTI Hybrid Equity Fund,Balanced,4046.04,2.03
                            Mahindra Manulife Hybrid Equity Nivesh Y...                        ,Balanced,232.54,1.7
                            Aditya Birla Sun Life Equity Hybrid 95 F...                        ,Balanced,7875.59,1.84
HDFC Childrens Gift Fund,Balanced,4835.85,2.23
HDFC Multi - Asset Fund,Debt-MIP,905.13,1.65
Aditya Birla Sun Life Regular Savings Fund,Debt-MIP,1210.29,0.78
HDFC Hybrid Debt Fund,Debt-MIP,2525.39,1.24
SBI Multi Asset Allocation Fund,Debt-MIP,393.27,1.31
SBI Debt Hybrid Fund,Debt-MIP,1845.46,1.22
IDBI Equity Savings Fund,Debt-MIP,11.26,0.76
Kotak Debt Hybrid Fund,Debt-MIP,678.23,0.87
Nippon India Strategic Debt Fund,Debt-Income,251.72,13.99
UTI Dual Advantage FTF - Series IV - IV,Debt-Marginal Equity,29.42,1.02
UTI Regular Savings Fund,Debt-MIP,1636.92,0.84
Nippon India Ultra Short Duration Fund,Liquid,1238.04,2.78
Quant Liquid Fund,Liquid,268.85,0.28
Tata Money Market Fund,Liquid,3864.31,0.36
Aditya Birla Sun Life Money Manager Fund,Liquid,13621.81,0.34
Nippon India Money Market Fund,Liquid,7318.39,0.34
UTI Money Market Fund,Liquid,6635.55,0.34
Axis Money Market Fund,Liquid,2306.68,0.34
HDFC Money Market Fund,Liquid,13853.92,0.33
ICICI Prudential Money Market Fund,Liquid,11429.87,0.32
Kotak Money Market Fund,Liquid,9730.07,0.34
Edelweiss Government Securities Fund,Gilt-Long Term,98.29,0.47
Axis Gilt Fund,Gilt-Long Term,152.86,0.23
                            ICICI Prudential Constant Maturity Gilt ...                        ,Gilt-Long Term,324.98,0.2
DSP Government Securities Fund,Gilt-Long Term,461.95,0.29
                            Aditya Birla Sun Life Government Securit...                        ,Gilt-Long Term,880.65,0.04
SBI Magnum Gilt Fund,Gilt-Long Term,3711.19,0.15
PGIM India Gilt Fund,Gilt-Long Term,132.01,0.2
LIC MF G Sec Fund,Gilt-Long Term,48.03,0.31
                            IDFC Government Securities Fund Investme...                        ,Gilt-Long Term,1968.55,0.59
Kotak Gilt Fund,Gilt-Long Term,864.72,0.0
Quant Multi Asset Fund,Dynamic/Asset Allocation,74.36,3.52
HDFC Balanced Advantage Fund,Dynamic/Asset Allocation,41796.27,0.9
ICICI Prudential Multi-Asset Fund,Dynamic/Asset Allocation,11676.83,-0.04
Edelweiss Aggressive Hybrid Fund,Dynamic/Asset Allocation,56.65,2.04
Tata Multi Asset Opportunities Fund,Dynamic/Asset Allocation,792.59,1.5
Axis Triple Advantage Fund,Dynamic/Asset Allocation,1020.42,2.17
Edelweiss Balanced Advantage Fund,Dynamic/Asset Allocation,4308.73,1.05
Nippon India Balanced Advantage Fund,Dynamic/Asset Allocation,3722.21,1.62
                            Nippon India Capital Protection Oriented...                        ,Dynamic/Asset Allocation,36.26,-0.6
Baroda Dynamic Equity Fund,Dynamic/Asset Allocation,1248.07,1.88
Nippon India ETF Nifty Midcap 150,ETF-Others,402.67,2.28
Motilal Oswal Midcap 100 ETF,ETF-Others,69.63,2.07
ICICI Prudential Midcap 150 ETF,ETF-Others,74.69,2.32
Nippon India ETF Nifty IT,ETF-Others,706.66,3.21
ICICI Prudential Midcap Select ETF,ETF-Others,28.38,3.18
Nippon India ETF PSU Bank BeES,ETF-Others,278.74,-3.63
Kotak PSU Bank ETF,ETF-Others,137.38,-3.6
SBI ETF Sensex Next 50,ETF-Others,5.74,1.06
                            UTI S&P BSE Sensex Next 50 Exchange Trad...                        ,ETF-Others,7.86,1.05
Nippon India ETF Sensex Next 50,ETF-Others,17.04,1.04
HDFC Retirement Savings Fund - Equity Plan,Speciality-Pension Plan,1668.76,4.31
UTI CCF - Investment Plan,Speciality-Child Care,504.4,2.85
Tata Young Citizens Fund,Speciality-Child Care,249.93,1.21
                            ICICI Prudential Retirement Fund - Pure ...                        ,Speciality-Pension Plan,101.4,3.9
                            Nippon India Retirement Fund - Wealth Cr...                        ,Speciality-Pension Plan,2106.56,1.72
                            HDFC Retirement Savings Fund - Hybrid - ...                        ,Speciality-Pension Plan,649.89,2.37
LIC MF Unit Linked Insurance scheme,Speciality-ULIP,376.98,1.42
                            Tata Retirement Savings Fund - Progressi...                        ,Speciality-Pension Plan,1088.72,0.56
Axis Childrens Gift Fund,Speciality-Child Care,622.22,2.65
                            Axis Retirement Savings Fund - Aggressiv...                        ,Speciality-Pension Plan,611.06,1.57
                            ICICI Prudential Thematic Advantage Fund...                        ,Fund of Funds-Domestic,48.71,1.57
ICICI Prudential India Equity FOF,Fund of Funds-Domestic,32.58,1.74
                            ICICI Prudential Passive Strategy Fund (...                        ,Fund of Funds-Domestic,81.9,0.32
ICICI Prudential Bharat 22 FOF,Fund of Funds-Domestic,36.6,1.7
                            Franklin India Life Stage Fund of Funds ...                        ,Fund of Funds-Domestic,13.93,1.63
Quantum Equity FoF,Fund of Funds-Domestic,69.02,2.35
Nippon India Junior BeES FoF,Fund of Funds-Domestic,76.27,0.46
PRINCIPAL Global Opportunities Fund,Fund of Funds-Overseas,35.0,2.01
                            Franklin India Life Stage Fund of Funds ...                        ,Fund of Funds-Domestic,6.04,1.99
HSBC Managed Solutions India - Growth,Fund of Funds-Domestic,42.15,1.88
