Fund name,category,aum_rs_cr,6_m_pr
Quant Small Cap Fund,Equity-Diversified,700.52,62.9
ICICI Prudential Commodities Fund,Equity-Sector,533.37,46.4
Quant Infrastructure Fund,Equity-Sector,42.67,38.32
Sundaram Select Micro Cap - Series XVII,Equity-Diversified,98.53,48.82
                            Sundaram Long Term Micro Cap Tax Advanta...                        ,Equity-Tax Planning,42.81,53.5
                            Sundaram Long Term Micro Cap Tax Advanta...                        ,Equity-Tax Planning,42.16,50.76
Sundaram Select Micro Cap - Series XVI,Equity-Diversified,116.36,47.0
Kotak Small Cap Fund,Equity-Diversified,4765.5,41.15
BOI AXA Small Cap Fund,Equity-Diversified,158.22,43.3
                            Sundaram Long Term Micro Cap Tax Advanta...                        ,Equity-Tax Planning,40.26,48.47
Quant Mid Cap Fund,Balanced,110.32,31.73
BOI AXA Mid & Small Cap Equity & Debt Fund,Balanced,333.09,34.43
Quant Absolute Fund,Balanced,52.52,26.5
IDFC Hybrid Equity Fund,Balanced,545.26,14.13
Kotak Equity Hybrid Fund,Balanced,1760.44,13.91
ICICI Prudential Equity & Debt Fund,Balanced,17129.99,16.06
UTI Hybrid Equity Fund,Balanced,4046.04,14.68
                            Mahindra Manulife Hybrid Equity Nivesh Y...                        ,Balanced,232.54,15.47
                            Aditya Birla Sun Life Equity Hybrid 95 F...                        ,Balanced,7875.59,11.75
HDFC Hybrid Equity Fund,Balanced,18220.21,12.83
HDFC Multi - Asset Fund,Debt-MIP,905.13,7.93
Aditya Birla Sun Life Regular Savings Fund,Debt-MIP,1210.29,5.84
HDFC Hybrid Debt Fund,Debt-MIP,2525.39,7.51
IDBI Equity Savings Fund,Debt-MIP,11.26,4.31
SBI Multi Asset Allocation Fund,Debt-MIP,393.27,7.0
SBI Debt Hybrid Fund,Debt-MIP,1845.46,6.09
Kotak Debt Hybrid Fund,Debt-MIP,678.23,5.81
Nippon India Strategic Debt Fund,Debt-Income,251.72,15.48
UTI Dual Advantage FTF - Series IV - IV,Debt-Marginal Equity,29.42,7.49
UTI Dual Advantage FTF - Series III - I,Debt-Marginal Equity,32.0,6.03
Nippon India Ultra Short Duration Fund,Liquid,1238.04,5.88
Quant Liquid Fund,Liquid,268.85,2.01
Tata Money Market Fund,Liquid,3864.31,2.12
Aditya Birla Sun Life Money Manager Fund,Liquid,13621.81,2.05
Nippon India Money Market Fund,Liquid,7318.39,1.99
UTI Money Market Fund,Liquid,6635.55,1.97
HDFC Money Market Fund,Liquid,13853.92,2.0
Axis Money Market Fund,Liquid,2306.68,1.97
ICICI Prudential Money Market Fund,Liquid,11429.87,1.94
Kotak Money Market Fund,Liquid,9730.07,1.92
Edelweiss Government Securities Fund,Gilt-Long Term,98.29,2.47
Axis Gilt Fund,Gilt-Long Term,152.86,0.79
                            ICICI Prudential Constant Maturity Gilt ...                        ,Gilt-Long Term,324.98,0.95
DSP Government Securities Fund,Gilt-Long Term,461.95,1.09
                            Aditya Birla Sun Life Government Securit...                        ,Gilt-Long Term,880.65,1.28
SBI Magnum Gilt Fund,Gilt-Long Term,3711.19,1.3
PGIM India Gilt Fund,Gilt-Long Term,132.01,1.32
LIC MF G Sec Fund,Gilt-Long Term,48.03,1.3
ICICI Prudential Gilt Fund,Gilt-Long Term,3739.01,0.85
                            IDFC Government Securities Fund Investme...                        ,Gilt-Long Term,1968.55,0.93
Quant Multi Asset Fund,Dynamic/Asset Allocation,74.36,41.48
HDFC Balanced Advantage Fund,Dynamic/Asset Allocation,41796.27,14.07
ICICI Prudential Multi-Asset Fund,Dynamic/Asset Allocation,11676.83,13.63
Edelweiss Aggressive Hybrid Fund,Dynamic/Asset Allocation,56.65,11.6
Tata Multi Asset Opportunities Fund,Dynamic/Asset Allocation,792.59,11.4
Axis Triple Advantage Fund,Dynamic/Asset Allocation,1020.42,9.66
Edelweiss Balanced Advantage Fund,Dynamic/Asset Allocation,4308.73,7.74
Nippon India Balanced Advantage Fund,Dynamic/Asset Allocation,3722.21,9.35
                            Nippon India Capital Protection Oriented...                        ,Dynamic/Asset Allocation,36.26,5.35
Baroda Dynamic Equity Fund,Dynamic/Asset Allocation,1248.07,5.42
Nippon India ETF Nifty Midcap 150,ETF-Others,402.67,23.64
Motilal Oswal Midcap 100 ETF,ETF-Others,69.63,22.73
ICICI Prudential Midcap 150 ETF,ETF-Others,74.69,23.71
Nippon India ETF Nifty IT,ETF-Others,706.66,10.58
Nippon India ETF PSU Bank BeES,ETF-Others,278.74,20.21
Kotak PSU Bank ETF,ETF-Others,137.38,20.43
ICICI Prudential Midcap Select ETF,ETF-Others,28.38,13.6
