Fund name,category,aum_rs_cr,1_y_pr
Quant Small Cap Fund,Equity-Diversified,700.52,170.97
ICICI Prudential Commodities Fund,Equity-Sector,533.37,139.57
Quant Infrastructure Fund,Equity-Sector,42.67,131.36
Sundaram Select Micro Cap - Series XVII,Equity-Diversified,98.53,120.17
                            Sundaram Long Term Micro Cap Tax Advanta...                        ,Equity-Tax Planning,42.81,120.03
                            Sundaram Long Term Micro Cap Tax Advanta...                        ,Equity-Tax Planning,42.16,119.58
Sundaram Select Micro Cap - Series XVI,Equity-Diversified,116.36,117.93
Kotak Small Cap Fund,Equity-Diversified,4765.5,117.75
BOI AXA Small Cap Fund,Equity-Diversified,158.22,113.78
                            Sundaram Long Term Micro Cap Tax Advanta...                        ,Equity-Tax Planning,40.26,113.17
Quant Mid Cap Fund,Balanced,110.32,87.07
BOI AXA Mid & Small Cap Equity & Debt Fund,Balanced,333.09,81.95
Quant Absolute Fund,Balanced,52.52,80.49
IDFC Hybrid Equity Fund,Balanced,545.26,48.22
Kotak Equity Hybrid Fund,Balanced,1760.44,48.04
ICICI Prudential Equity & Debt Fund,Balanced,17129.99,47.67
UTI Hybrid Equity Fund,Balanced,4046.04,45.5
                            Mahindra Manulife Hybrid Equity Nivesh Y...                        ,Balanced,232.54,44.45
                            Aditya Birla Sun Life Equity Hybrid 95 F...                        ,Balanced,7875.59,43.95
HDFC Hybrid Equity Fund,Balanced,18220.21,43.9
HDFC Multi - Asset Fund,Debt-MIP,905.13,31.05
Aditya Birla Sun Life Regular Savings Fund,Debt-MIP,1210.29,21.93
HDFC Hybrid Debt Fund,Debt-MIP,2525.39,20.08
IDBI Equity Savings Fund,Debt-MIP,11.26,19.4
SBI Multi Asset Allocation Fund,Debt-MIP,393.27,19.04
SBI Debt Hybrid Fund,Debt-MIP,1845.46,19.02
Kotak Debt Hybrid Fund,Debt-MIP,678.23,18.5
Nippon India Strategic Debt Fund,Debt-Income,251.72,17.9
UTI Dual Advantage FTF - Series IV - IV,Debt-Marginal Equity,29.42,17.68
UTI Dual Advantage FTF - Series III - I,Debt-Marginal Equity,32.0,17.51
Nippon India Ultra Short Duration Fund,Liquid,1238.04,9.49
Quant Liquid Fund,Liquid,268.85,4.3
Tata Money Market Fund,Liquid,3864.31,4.2
Aditya Birla Sun Life Money Manager Fund,Liquid,13621.81,4.11
Nippon India Money Market Fund,Liquid,7318.39,4.0
UTI Money Market Fund,Liquid,6635.55,3.99
HDFC Money Market Fund,Liquid,13853.92,3.99
Axis Money Market Fund,Liquid,2306.68,3.98
ICICI Prudential Money Market Fund,Liquid,11429.87,3.9
Kotak Money Market Fund,Liquid,9730.07,3.83
Edelweiss Government Securities Fund,Gilt-Long Term,98.29,6.13
Axis Gilt Fund,Gilt-Long Term,152.86,3.89
                            ICICI Prudential Constant Maturity Gilt ...                        ,Gilt-Long Term,324.98,3.55
DSP Government Securities Fund,Gilt-Long Term,461.95,3.48
                            Aditya Birla Sun Life Government Securit...                        ,Gilt-Long Term,880.65,3.17
SBI Magnum Gilt Fund,Gilt-Long Term,3711.19,3.13
PGIM India Gilt Fund,Gilt-Long Term,132.01,3.08
LIC MF G Sec Fund,Gilt-Long Term,48.03,3.02
ICICI Prudential Gilt Fund,Gilt-Long Term,3739.01,2.85
